Date,Batter,Pitch,Strike,Count,Full result,Sum result
July 2,Jimenez,O,L,0-2,G,Out
July 2,Decker,O,L,0-1,FO,Out
July 2,Franzoni,O,L,1-1,1,Hit
July 3,Franzoni,O,L,0-1,FO,Out
July 3,Costes,O,F,3-2,G,Out
July 3,Franzoni,O,L,1-2,1,
July 3,Poteet,O,L,2-1,G,Out
July 3,Padre,O,L,0-2,G,Out
July 3,Turconi,O,L,2-1,1,Hit
July 3,Franzoni,O,L,3-2,BB,Walk
July 3,Jimenez,O,L,2-2,2,Hit
July 3,Jordan,O,S,1-1,1,Hit
July 3,Padre,C,L,2-2,SOS,Strikeout
July 3,Franzoni,O,L,3-2,SOS,Strikeout
July 9,Costes,O,L,3-2,SOL,Strikeout
July 9,Jordan,O,L,0-1,1,Hit
July 9,Reese,O,L,2-2,G,Out
July 9,Reese,O,F,1-2,G,Out
July 9,Costes,O,L,3-2,1,Hit
July 9,Zayicek,O,L,0-2,1,Hit
July 9,Hartigan,O,L,0-2,G,Out
